VIN,Year,Make,Model,Mileage,Exterior Color,Model Series,Vda,Unit Number,Due Location Name,Advertised Price,State
2T3BF4DV4BW086853,2011,TOYOTA,RAV4,38022,BLU,BASE,781.05,6237077,RHP TAMPA,17700,FL
2T3BF4DV0BW085537,2011,TOYOTA,RAV4,42807,RED,BASE,0,6526412,RHP JACKSONVILLE,17300,FL
2T3BF4DV3BW087363,2011,TOYOTA,RAV4,39300,GRA,BASE,0,3973567,RHP FT. LAUDERDALE,17600,FL
2T3BF4DVXBW085898,2011,TOYOTA,RAV4,38527,SIL,BASE,0,5086517,RHP TAMPA,17700,FL
2T3BF4DV8BW084278,2011,TOYOTA,RAV4,38721,WHI,BASE,0,5194527,RHP TAMPA,17700,FL
2T3BF4DV2BW103830,2011,TOYOTA,RAV4,40394,SIL,BASE,0,1158013,RHP JACKSONVILLE,17500,FL
2T3BF4DV6AW037829,2010,TOYOTA,RAV4,43059,SIL,BASE,180,7083207,FLSOR10,16700,FL
2T3BF4DV4BW086545,2011,TOYOTA,RAV4,37847,WHI,BASE,374,6532220,RHP FT. LAUDERDALE,17700,FL
2T3BF4DV2BW084180,2011,TOYOTA,RAV4,39157,RED,BASE,0,3079258,RHP ORLANDO,17600,FL
2T3BF4DV3BW118451,2011,TOYOTA,RAV4,40391,RED,BASE,0,7988579,RHP FT. LAUDERDALE,18044.22,FL
2T3BF4DV0BW082542,2011,TOYOTA,RAV4,37847,GRA,BASE,130,5119581,FAAO CARTER RD WS,17700,FL
JTMBF4DV0A5023464,2010,TOYOTA,RAV4,40406,SIL,BASE,0,7319908,FLSOR10,16900,FL
2T3BF4DV3BW087430,2011,TOYOTA,RAV4,47321,WHI,BASE,0,3950516,RHP FT. LAUDERDALE,16983.14,FL
JN8AS5MV8BW252049,2011,NISSAN,ROGUE,42581,GRA,S,180,2073815,CENTRAL FLORIDA AUTO,16400,FL
JN8AS5MV5BW252560,2011,NISSAN,ROGUE,38972,RED,S,0,5049218,CENTRAL FLORIDA AUTO,16500,FL
JN8AS5MV2BW252547,2011,NISSAN,ROGUE,38582,SIL,S,0,3641107,RHP ORLANDO,16500,FL
JN8AS5MV3BW256770,2011,NISSAN,ROGUE,39317,WHI,S,0,6837900,RHP JACKSONVILLE,16500,FL
JN8AS5MV3BW260897,2011,NISSAN,ROGUE,38088,RED,S,0,3284965,FLSOR10,16600,FL
JN8AS5MV1BW276970,2011,NISSAN,ROGUE,36861,SIL,S,0,7081326,RHP TAMPA,16600,FL
JN8AS5MV9BW673245,2011,NISSAN,ROGUE,33426,SIL,S,0,6851232,RHP FT. LAUDERDALE,16800,FL
2V4RW3D16AR280269,2010,VOLKSW,ROUTAN,40018,BLU,SE,112.5,7390297,FAAO CARTER RD WS,17200,FL
2V4RW3D12AR295092,2010,VOLKSW,ROUTAN,34956,BLA,SE,0,7389463,FAAO CARTER RD WS,17600,FL
2V4RW3D13AR280262,2010,VOLKSW,ROUTAN,51107,BLA,SE,0,7390123,FLSOR10,16300,FL
YV1672MS1B2540259,2011,VOLVO,S40,26092,GRA,T5,1071.89,1138569,GREATER TAMPA BAY AA,22900,FL
YV1672MS7B2540136,2011,VOLVO,S40,29349,WHI,T5,185,1138494,FLSOR10,22600,FL
YV1672MS7B2539987,2011,VOLVO,S40,27003,BLU,T5,0,1138254,GREATER TAMPA BAY AA,22800,FL
YV1672MS5B2540233,2011,VOLVO,S40,26796,BLU,T5,0,1138171,GREATER TAMPA BAY AA,22800,FL
YV1672MS6B2540001,2011,VOLVO,S40,22835,SIL,T5,0,1138338,GREATER TAMPA BAY AA,23200,FL
YV1672MS3B2539906,2011,VOLVO,S40,25746,SIL,T5,557.98,1138445,GREATER TAMPA BAY AA,22900,FL
YV1672MS0B2540026,2011,VOLVO,S40,26459,SIL,T5,0,1138411,RHP FT. LAUDERDALE,22900,FL
YV1672MS1B2540018,2011,VOLVO,S40,19973,SIL,T5,0,1138379,FLSOR10,23400,FL
YV1672MS0B2539720,2011,VOLVO,S40,26193,WHI,T5,423.1,1141084,GREATER TAMPA BAY AA,22900,FL
YV1672MSXB2540180,2011,VOLVO,S40,24585,WHI,T5,0,1138072,CENTRAL FLORIDA AUTO,23000,FL
YV1672MS7B2539794,2011,VOLVO,S40,26490,SIL,T5,0,1140730,GREATER TAMPA BAY AA,22900,FL
YV1672MS6B2539981,2011,VOLVO,S40,30274,BLU,T5,75,1137124,FAAO CARTER RD WS,22500,FL
YV1672MS5B2540104,2011,VOLVO,S40,31395,WHI,T5,0,1138486,FAAO CARTER RD WS,22400,FL
YV1672MS8B2539853,2011,VOLVO,S40,26345,SIL,T5,0,1160571,FAAO CARTER RD WS,22900,FL
YV1672MS9B2540252,2011,VOLVO,S40,21328,BLU,T5,40,1138601,FLSOR10,23300,FL
1C3CC4FB6AN168254,2010,CHRYSLER,SEBRING,40847,GRA,,364.05,6900898,RHP TAMPA,12600,FL
1C3CC4FBXAN177653,2010,CHRYSLER,SEBRING,34498,SIL,,0,6910020,FLSOR10,13000,FL
KNDMB233586242501,2008,KIA,SEDONA,62118,GRA,LX,0,3142353,FORT LAUDERDALE AA W,10800,FL
KNDMG4C36A6350497,2010,KIA,SEDONA,44818,BLA,LX,0,9053752,RHP MIAMI,14300,FL
KNDMG4C70B6365064,2011,KIA,SEDONA,43148,BUR,LX,815.95,6408975,RHP FT. LAUDERDALE,16500,FL
KNDMG4C7XB6363631,2011,KIA,SEDONA,50406,BEI,LX,1156.2,8811697,FAAO CARTER RD WS,16500,FL
3N1AB6APXAL716084,2010,NISSAN,SENTRA,38257,WHI,S,0,5304860,RHP JACKSONVILLE,12900,FL
3N1AB6AP5AL656814,2010,NISSAN,SENTRA,40727,RED,,0,5141932,RHP MIAMI,1100,FL
3N1AB6APXAL613473,2010,NISSAN,SENTRA,45762,GRA,S,478.5,2408201,RHP MIAMI,12500,FL
3N1AB6AP8AL724135,2010,NISSAN,SENTRA,38979,WHI,S,20,7358757,RHP MIAMI,12900,FL
3N1AB6AP6BL603959,2011,NISSAN,SENTRA,45271,GRA,S,0,3060845,RHP JACKSONVILLE,14000,FL
3N1AB6AP2AL720968,2010,NISSAN,SENTRA,37445,GRA,S,0,9410374,FAAO CARTER RD WS,13000,FL
3N1AB6AP7BL601895,2011,NISSAN,SENTRA,39354,BLA,S,577.89,3613957,FAAO CARTER RD WS,14200,FL
3N1AB6AP2AL720100,2010,NISSAN,SENTRA,38193,GRA,S,747.7,7358898,CENTRAL FLORIDA AUTO,12900,FL
3N1AB6AP7AL707939,2010,NISSAN,SENTRA,45221,WHI,S,85,7768393,RHP FT. LAUDERDALE,12600,FL
3N1AB6AP1BL602556,2011,NISSAN,SENTRA,43166,SIL,S,0,6406680,RHP TAMPA,14100,FL
3N1AB6AP9BL603759,2011,NISSAN,SENTRA,41947,RED,S,363.75,6793251,CENTRAL FLORIDA AUTO,14100,FL
3N1AB6AP7BL603209,2011,NISSAN,SENTRA,37993,SIL,S,357.6,5118278,RHP MIAMI,14300,FL
3N1AB6AP2BL603859,2011,NISSAN,SENTRA,38899,BRO,S,0,3448529,RHP FT. LAUDERDALE,14200,FL
3N1AB6APXAL659384,2010,NISSAN,SENTRA,36650,RED,S,0,7440829,FLSOR10,13000,FL
3N1AB6AP7AL720142,2010,NISSAN,SENTRA,43655,WHI,S,0,2281574,RHP MIAMI,12800,FL
3N1AB6AP4AL720891,2010,NISSAN,SENTRA,42484,GRA,S,0,7358013,RHP MIAMI,12700,FL
3N1AB6AP9AL711300,2010,NISSAN,SENTRA,41781,RED,S,0,5380019,RHP ORLANDO,12700,FL
3N1AB6AP3BL607368,2011,NISSAN,SENTRA,37965,WHI,S,0,3062650,RHP FT. LAUDERDALE,14300,FL
3N1AB6APXAL708907,2010,NISSAN,SENTRA,41544,RED,S,0,8755894,RHP ORLANDO,12700,FL
3N1AB6APXBL606945,2011,NISSAN,SENTRA,38559,GRA,S,0,5118443,RHP JACKSONVILLE,14300,FL
5TDKK3DC1BS014241,2011,TOYOTA,SIENNA,51058,SIL,LE,777.55,5362041,GREATER TAMPA BAY AA,20200,FL
5TDKK3DC4BS087121,2011,TOYOTA,SIENNA,28593,SIL,LE,0,6348627,RHP PALM BEACH,23100,FL
5TDKK3DC6BS079585,2011,TOYOTA,SIENNA,45651,SIL,LE,834.3,5520341,RHP FT. LAUDERDALE,20900,FL
5TDKK3DCXBS030843,2011,TOYOTA,SIENNA,38620,BUR,LE,0,6425243,RHP FT. LAUDERDALE,21800,FL
5TDKK3DCXBS076544,2011,TOYOTA,SIENNA,32357,WHI,LE,595.6,6576755,RHP TAMPA,22600,FL
5TDKK3DC0BS076360,2011,TOYOTA,SIENNA,28076,RED,LE,716.45,6351282,RHP TAMPA,23200,FL
5TDKK3DC2BS076750,2011,TOYOTA,SIENNA,23687,SIL,LE,0,6351274,FAAO CARTER RD WS,23800,FL
5TDKK3DC0BS074768,2011,TOYOTA,SIENNA,44269,BUR,LE,0,6553390,FLSOR10,21100,FL
5TDKK3DCXBS074518,2011,TOYOTA,SIENNA,39632,BUR,LE,806.7,6554794,FORT LAUDERDALE AA W,21700,FL
5TDKK3DC1BS092776,2011,TOYOTA,SIENNA,47592,GRA,LE,158.45,3784808,FORT LAUDERDALE AA W,20600,FL
5TDKK3DCXBS079072,2011,TOYOTA,SIENNA,31135,SIL,LE,0,6351761,RHP JACKSONVILLE,22800,FL
5TDKK3DCXBS078052,2011,TOYOTA,SIENNA,42523,RED,LE,250.05,6576789,RHP FT. LAUDERDALE,21300,FL
5TDKK3DC6BS075701,2011,TOYOTA,SIENNA,38859,RED,LE,35,6565089,RHP FT. LAUDERDALE,21800,FL
5TDKK3DC6BS078386,2011,TOYOTA,SIENNA,30578,SIL,LE,270.2,6575138,FAAO CARTER RD WS,22900,FL
5TDKK3DC8BS076770,2011,TOYOTA,SIENNA,36463,SIL,LE,0,6365332,FAAO CARTER RD WS,22100,FL
5TDKK3DC7BS079126,2011,TOYOTA,SIENNA,29066,SIL,LE,896.79,6365068,CENTRAL FLORIDA AUTO,23100,FL
5TDKK3DC7BS079708,2011,TOYOTA,SIENNA,33284,RED,LE,900.35,6365183,FAAO CARTER RD WS,22500,FL
5TDKK3DC2BS075548,2011,TOYOTA,SIENNA,29135,SIL,LE,1088.18,2569127,RHP FT. LAUDERDALE,23100,FL
5TDKK3DC9BS087924,2011,TOYOTA,SIENNA,35098,LGN,LE,112.5,5521463,FAAO CARTER RD WS,22300,FL
5TDKK3DC7BS076873,2011,TOYOTA,SIENNA,29057,BUR,LE,0,6554638,RHP JACKSONVILLE,23100,FL
5TDKK3DC5BS012377,2011,TOYOTA,SIENNA,60869,WHI,LE,239,2939676,RHP PALM BEACH,18900,FL
5TDKK3DC3BS087336,2011,TOYOTA,SIENNA,28902,WHI,LE,878.61,5521489,RHP FT. LAUDERDALE,23100,FL
5TDKK3DCXBS076396,2011,TOYOTA,SIENNA,29506,RED,LE,0,6352298,RHP TAMPA,23100,FL
5TDKK3DC8BS082827,2011,TOYOTA,SIENNA,41159,SIL,LE,0,5061205,RHP FT. LAUDERDALE,21500,FL
5TDKK3DC4BS076894,2011,TOYOTA,SIENNA,36011,WHI,LE,825.82,6553788,FAAO CARTER RD WS,22200,FL
5TDKK3DCXBS073417,2011,TOYOTA,SIENNA,34702,LGN,LE,0,2569275,FAAO CARTER RD WS,22300,FL
5TDKK3DC7BS085167,2011,TOYOTA,SIENNA,42715,WHI,LE,0,6575294,FAAO CARTER RD WS,21300,FL
5TDKK3DC9BS014701,2011,TOYOTA,SIENNA,50807,SIL,LE,997.3,1847532,FAAO CARTER RD WS,20200,FL
5TDKK3DC7BS089820,2011,TOYOTA,SIENNA,43198,GRE,LE,85,6563944,RHP FT. LAUDERDALE,21200,FL
5TDKK3DC5BS082753,2011,TOYOTA,SIENNA,45420,SIL,LE,1074.97,5061239,FAAO CARTER RD WS,20900,FL
5TDKK3DC8BS092130,2011,TOYOTA,SIENNA,52612,SIL,LE,360.8,7025521,GREATER TAMPA BAY AA,20900,FL
5TDKK3DC8BS076882,2011,TOYOTA,SIENNA,32684,GRA,LE,85,6351860,RHP TAMPA,22600,FL
5TDKK3DC1BS078294,2011,TOYOTA,SIENNA,32410,RED,LE,640.6,6351290,RHP TAMPA,22600,FL
5TDKK3DC0BS077976,2011,TOYOTA,SIENNA,32997,RED,LE,160,6365241,FAAO CARTER RD WS,22600,FL
5TDKK3DC2BS074433,2011,TOYOTA,SIENNA,40942,WHI,LE,734.81,2569630,FAAO CARTER RD WS,21500,FL
5TDKK3DC6BS076928,2011,TOYOTA,SIENNA,26701,GRE,LE,1027.54,6365357,FAAO CARTER RD WS,23400,FL
5TDKK3DC9BS078107,2011,TOYOTA,SIENNA,39355,GRA,LE,0,6553861,RHP FT. LAUDERDALE,21700,FL
5TDKK4CC0AS330607,2010,TOYOTA,SIENNA,44669,SIL,LE,340.35,2739704,RHP FT. LAUDERDALE,19300,FL
5TDKK3DC9BS088359,2011,TOYOTA,SIENNA,22460,RED,LE,70,5084165,GREATER TAMPA BAY AA,24000,FL
5TDKK3DC5BS012119,2011,TOYOTA,SIENNA,55153,SIL,LE,0,2942050,FORT LAUDERDALE AA W,19600,FL
5TDKK3DC5BS030233,2011,TOYOTA,SIENNA,46533,BUR,LE,0,6425375,FORT LAUDERDALE AA W,20800,FL
5TDKK3DC5BS079559,2011,TOYOTA,SIENNA,30426,SIL,LE,0,5520390,CENTRAL FLORIDA AUTO,22900,FL
5TDKK3DC7BS077408,2011,TOYOTA,SIENNA,35585,WHI,LE,0,6552657,GREATER TAMPA BAY AA,22200,FL
5TDKK3DC4BS087118,2011,TOYOTA,SIENNA,41025,SIL,LE,130,6348692,GREATER TAMPA BAY AA,21500,FL
5NPEB4AC6BH078577,2011,HYUNDAI,SONATA,39370,SIL,GLS,743.4,1940311,RHP MIAMI,16800,FL
5NPEB4AC6BH055638,2011,HYUNDAI,SONATA,42600,TAN,GLS,388.85,5416615,RHP JACKSONVILLE,16600,FL
5NPEB4AC0BH072760,2011,HYUNDAI,SONATA,40456,SIL,GLS,85,8782815,RHP FT. LAUDERDALE,16700,FL
5NPEB4AC0BH070118,2011,HYUNDAI,SONATA,40752,SIL,GLS,0,1940592,RHP MIAMI,16700,FL
5NPEB4AC5BH059910,2011,HYUNDAI,SONATA,40883,GRA,GLS,806.65,7989908,RHP MIAMI,16700,FL
5NPEB4AC2BH055085,2011,HYUNDAI,SONATA,38328,SIL,GLS,0,5416128,FLSOR10,16800,FL
5NPEB4AC3BH063843,2011,HYUNDAI,SONATA,38910,SIL,GLS,619.35,2462703,FAAO CARTER RD WS,16800,FL
5NPEB4AC8BH025119,2011,HYUNDAI,SONATA,44863,BLU,GLS,519.95,6581425,FAAO CARTER RD WS,16500,FL
5NPEB4AC0BH072743,2011,HYUNDAI,SONATA,42228,WHI,GLS,0,8783094,RHP MIAMI,16600,FL
5NPEB4AC9BH084695,2011,HYUNDAI,SONATA,44961,GRA,GLS,0,3768074,RHP MIAMI,16500,FL
5NPEB4AC4BH053144,2011,HYUNDAI,SONATA,41643,GRA,GLS,0,5416318,RHP MIAMI,16700,FL
1FBSS3BL0ADA30660,2010,FORD,SUPERCLUBWGN,51476,WHI,XLT,1133.5,1229061,RHP MIAMI,17200,FL
1FAHP2FW1AG159047,2010,FORD,TAURUS,41778,SIL,LTD,0,6097497,RHP FT. LAUDERDALE,19607.69,FL
1N6AA0EJ2BN311645,2011,NISSAN,TITAN,23930,GRA,SV,0,6331797,FAAO CARTER RD WS,25700,FL
1N6AA0EJ9BN309634,2011,NISSAN,TITAN,45411,WHI,SV,784.01,1196716,FAAO CARTER RD WS,24800,FL
1N6AA0EJ7BN311754,2011,NISSAN,TITAN,18965,SIL,SV,381.23,6322572,FAAO CARTER RD WS,26200,FL
2A4RR5D12AR308771,2010,CHRYSLER,TOWN COUNTRY,40313,BLA,TRNG,828,7397375,CENTRAL FLORIDA AUTO,16500,FL
214RR5D10AR293008,2010,CHRYSLER,TOWN COUNTRY,42850,BLA,,0,6913271,CENTRAL FLORIDA AUTO,1100,FL
214RR5D1XAR308503,2010,CHRYSLER,TOWN COUNTRY,38378,SIL,,0,5491360,FAAO CARTER RD WS,1100,FL
214RR5D16AR285057,2010,CHRYSLER,TOWN COUNTRY,35675,WHI,,524.2,5493440,RHP FT. LAUDERDALE,1100,FL
2A4RR5D12AR286738,2010,CHRYSLER,TOWN COUNTRY,45051,BRO,,0,6901078,FORT LAUDERDALE AA W,16000,FL
2A4RR5D19AR309075,2010,CHRYSLER,TOWN COUNTRY,40727,WHI,TRNG,0,1207372,RHP FT. LAUDERDALE,16500,FL
214RR5D14AR266197,2010,CHRYSLER,TOWN COUNTRY,40985,SIL,,464.05,5493051,FAAO CARTER RD WS,1100,FL
214RR5D15AR260456,2010,CHRYSLER,TOWN COUNTRY,31537,SIL,,85,5491576,FORT LAUDERDALE AA W,1100,FL
2A4RR5D18AR324022,2010,CHRYSLER,TOWN COUNTRY,38491,DBL,,0,6916001,CENTRAL FLORIDA AUTO,16700,FL
214RR5D18AR304479,2010,CHRYSLER,TOWN COUNTRY,38624,LBL,,0,6918189,CENTRAL FLORIDA AUTO,1100,FL
214RR5D18AR309133,2010,CHRYSLER,TOWN COUNTRY,41240,SIL,,157.85,6916027,FORT LAUDERDALE AA W,1100,FL
214RR5D13AR243428,2010,CHRYSLER,TOWN COUNTRY,40224,SIL,,315.5,5493127,FORT LAUDERDALE AA W,1100,FL
214RR5D12AR284861,2010,CHRYSLER,TOWN COUNTRY,36353,WHI,,0,6909352,FLSOR10,1100,FL
2A4RR5D10AR373666,2010,CHRYSLER,TOWN COUNTRY,54875,BLU,TRNG,989.48,7199037,FAAO CARTER RD WS,15999.65,FL
1GNLVGED5AJ265793,2010,CHEVROLET,TRAVERSE,41338,BLA,LT,368,1743574,RHP FT. LAUDERDALE,30721.21,FL
5TFRY5F18AX079293,2010,TOYOTA,TUNDRA,28235,GRA,,0,6966501,FAAO CARTER RD WS,24200,FL
3N1BC1AP6AL430754,2010,NISSAN,VERSA,38543,GRA,S,450.95,9036609,RHP FT. LAUDERDALE,11800,FL
3N1BC1CP6AL405415,2010,NISSAN,VERSA,42850,SIL,S,760.4,6146716,RHP MIAMI,11700,FL
3N1BC1CP6AL459233,2010,NISSAN,VERSA,45398,WHI,S,386.25,7241516,RHP MIAMI,11600,FL
3N1BC1AP5AL409071,2010,NISSAN,VERSA,37970,GRA,S,892.3,1172733,RHP MIAMI,11800,FL
3N1BC1AP7AL466355,2010,NISSAN,VERSA,41359,SIL,S,0,9713397,RHP MIAMI,11700,FL
3N1BC1CP4BL373713,2011,NISSAN,VERSA,37933,SIL,S,0,2860062,CENTRAL FLORIDA AUTO,12600,FL
3N1BC1CP8AL460089,2010,NISSAN,VERSA,41040,GRA,S,741.3,5293667,RHP MIAMI,11800,FL
3N1BC1AP9AL438380,2010,NISSAN,VERSA,43745,WHI,S,0,7332786,RHP TAMPA,11700,FL
3N1BC1CP7BL398718,2011,NISSAN,VERSA,39138,SIL,S,325.73,6406789,RHP FT. LAUDERDALE,12500,FL
3N1BC1CP4BL399194,2011,NISSAN,VERSA,38740,LBL,S,170,6793202,RHP ORLANDO,12500,FL
3N1BC1CP3AL455284,2010,NISSAN,VERSA,32304,RED,S,530.4,7232952,RHP MIAMI,12200,FL
3N1BC1APXBL405499,2011,NISSAN,VERSA,42368,SIL,S,0,3061991,RHP MIAMI,12300,FL
3N1BC1APXAL437125,2010,NISSAN,VERSA,38478,SIL,S,0,7255516,RHP MIAMI,11800,FL
3N1BC1CP7AL429397,2010,NISSAN,VERSA,37633,GRA,S,164.35,9024670,RHP MIAMI,11900,FL
3N1BC1CP0BL362840,2011,NISSAN,VERSA,44516,SIL,S,0,2286227,RHP ORLANDO,12300,FL
3N1BC1CPXBL378138,2011,NISSAN,VERSA,40578,BLA,S,0,5043872,RHP ORLANDO,12500,FL
3N1BC1APXAL407168,2010,NISSAN,VERSA,34981,GRA,S,0,7312192,RHP FT. LAUDERDALE,11800,FL
3N1BC1CP9AL369039,2010,NISSAN,VERSA,37641,GRA,S,908.25,1173665,RHP MIAMI,11900,FL
3N1BC1AP7AL464511,2010,NISSAN,VERSA,36080,SIL,S,656.45,5365663,FAAO CARTER RD WS,11800,FL
3N1BC1AP4AL440957,2010,NISSAN,VERSA,51123,SIL,S,0,2675346,RHP ORLANDO,11600,FL
3N1BC1AP4BL379112,2011,NISSAN,VERSA,36044,DBL,S,0,1996370,FAAO CARTER RD WS,12500,FL
3N1BC1CP2BL383186,2011,NISSAN,VERSA,38672,WHI,S,0,8698623,RHP FT. LAUDERDALE,12500,FL
3N1BC1CP7AL460228,2010,NISSAN,VERSA,39947,WHI,S,0,7430218,FLSOR10,11800,FL
3N1BC1AP7BL392131,2011,NISSAN,VERSA,37602,WHI,S,1005.2,6441612,CENTRAL FLORIDA AUTO,12500,FL
3N1BC1AP6AL450616,2010,NISSAN,VERSA,40221,WHI,S,534.4,7396922,RHP FT. LAUDERDALE,11700,FL
3N1BC1AP5BL391172,2011,NISSAN,VERSA,38317,SIL,S,0,1505585,RHP TAMPA,12500,FL
3N1BC1AP0AL424027,2010,NISSAN,VERSA,38307,SIL,S,491.7,7580863,RHP MIAMI,11900,FL
3N1BC1CP6BL405660,2011,NISSAN,VERSA,39831,WHI,S,0,3060258,RHP MIAMI,12500,FL
3N1BC1AP9BL378599,2011,NISSAN,VERSA,42106,BLA,S,0,9066549,RHP MIAMI,12300,FL
3N1BC1CP7BL378386,2011,NISSAN,VERSA,4030,BLU,S,61.55,1505353,RHP ORLANDO,13800,FL
3N1BC1CP4AL369580,2010,NISSAN,VERSA,40008,RED,S,0,2712123,RHP MIAMI,11800,FL
3N1BC1CP3BL382449,2011,NISSAN,VERSA,38485,RED,S,0,1505445,FAAO CARTER RD WS,12500,FL
3N1BC1AP7AL449880,2010,NISSAN,VERSA,40212,WHI,S,342.6,7264872,FAAO CARTER RD WS,11700,FL
3N1BC1AP1BL394411,2011,NISSAN,VERSA,38733,GRA,S,607.6,3725850,RHP TAMPA,12500,FL
3N1BC1CP2AL406111,2010,NISSAN,VERSA,30255,SIL,S,829.96,7228232,FORT LAUDERDALE AA W,12300,FL
JTDBT4K30A1384677,2010,TOYOTA,YARIS,36809,GRA,BASE,160,6962559,CENTRAL FLORIDA AUTO,12200,FL
JTDBT4K30B1398841,2011,TOYOTA,YARIS,38113,RED,BASE,0,5080718,RHP TAMPA,12300,FL
JTDBT4K33A1381353,2010,TOYOTA,YARIS,39252,RED,BASE,737.71,7414931,RHP MIAMI,12100,FL
JTDBT4K33A4074179,2010,TOYOTA,YARIS,40902,WHI,BASE,256.85,6489066,FAAO CARTER RD WS,12000,FL
JTDBT4K38B1405812,2011,TOYOTA,YARIS,31394,SIL,BASE,0,5479142,FLSOR10,12400,FL
JTDBT4K36B1398908,2011,TOYOTA,YARIS,30634,RED,BASE,0,6553317,FLSOR10,12500,FL
JTDBT4K32A4073458,2010,TOYOTA,YARIS,40647,SIL,BASE,727.75,1148584,RHP TAMPA,12000,FL
JTDBT4K39A4074980,2010,TOYOTA,YARIS,38898,RED,BASE,466.61,8682270,RHP TAMPA,12100,FL
JTDBT4K34A1387095,2010,TOYOTA,YARIS,37136,SIL,BASE,0,8041568,RHP FT. LAUDERDALE,12200,FL
JTDKT4K34A5281335,2010,TOYOTA,YARIS,42346,WHI,BASE,786.16,2396349,RHP TAMPA,12000,FL
JTDKT4K36A5305294,2010,TOYOTA,YARIS,41355,RED,BASE,967.85,6158703,GREATER TAMPA BAY AA,12200,FL
JTDBT4K35A1387929,2010,TOYOTA,YARIS,46180,SIL,BASE,85,7401441,FLSOR10,11700,FL
